conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword,keyword_file,layer,app_detected,has_aksesibilitas
484312272169218048,2014-07-02T12:26:58.000Z,0,Subhanallah manusia yg penyandang Tunanetra aja bisa lncar gitu baca Al-Quran jd merinding liat n mndngar beliau bca Al-Quran @HitamPutihT7,484312272169218048,,,in,,0,0,1,https://x.com/ando_dede/status/484312272169218048,745288716,ando_dede,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
484306011939803136,2014-07-02T12:02:05.000Z,0,"Al-qur'an brailer.. :)
Hebat..! Yg tunanetra aja mau bca al-qur'an...
Allahuakbar.. :)",484306011939803136,,,in,,0,0,1,https://x.com/ananda_faqqih/status/484306011939803136,1928074506,ananda_faqqih,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
479556005336846337,2014-06-19T09:27:16.000Z,0,#tunanetra BCA Indonesia Open Superseries Premier 2014: Kevin dan Greysia membuat kejutan di pertandingan pert... http://t.co/sKsrknCY29,479556005336846337,,,in,,0,0,0,https://x.com/TunanetraID/status/479556005336846337,438755148,TunanetraID,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
449190673552384000,2014-03-27T14:26:16.000Z,0,minat bca utk tunanetra ? gimana ? :) RT @fimnews: Proyek oke punya jebolan #FIM15 adalah @iniyangkubaca_ yang berfokus pada peningkatan,449190673552384000,,,in,,0,0,0,https://x.com/akutimtam/status/449190673552384000,69808259,akutimtam,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
442694800542687232,2014-03-09T16:13:59.000Z,0,yang lain lagi pda belajar braille buat kuliah dan gw juga belajar braille buat bekal nanti :) bca buku Mimi Mariani Lusli penulis tunanetra,442694800542687232,,,in,,0,0,1,https://x.com/berybeber/status/442694800542687232,150501849,berybeber,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
433273151137390594,2014-02-11T16:15:43.000Z,0,Bca met @ecocholatos RT @kompascom: Pemerkosa Diidentifikasi Tunanetra Berdasarkan Suaranya http://t.co/PK6vsJE0uE http://t.co/t3yfNQHAEd,433273151137390594,https://pbs.twimg.com/media/BgNIE7lCQAAsBTR.jpg,,in,,0,0,0,https://x.com/tamatamzz/status/433273151137390594,387236998,tamatamzz,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
407708116197724161,2013-12-03T03:11:25.000Z,0,@dede_prabutara BCA menyambut terbuka bagi nasabah yg membuka rek di BCA khususnya nasabah berkebutuhan khusus (tunanetra) cc:@Change ^RL,407708624874917888,,dede_prabutara,in,,0,1,0,https://x.com/HaloBCA/status/407708624874917888,620977821,HaloBCA,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
389344347252359168,2013-10-13T11:00:24.000Z,0,"@HaloBCA mas/mbak, sekarang temen2 tunanetra apa sudah bisa bikin rekening bca?",389344868348092417,,HaloBCA,in,,0,1,0,https://x.com/hajarsabrani/status/389344868348092417,250924383,hajarsabrani,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
376379270043414530,2013-09-07T16:19:45.000Z,0,"BCA Tolak Tunanetra Jadi Nasabah, Airlangga Ajukan Petisi http://t.co/sg0owLaxwH http://t.co/GwuybUMTsl",376379270043414530,,,in,,0,0,1,https://x.com/Sulawesibisnis/status/376379270043414530,333789822,Sulawesibisnis,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
375175028129554432,2013-09-04T08:34:31.000Z,1,@HaloBCA halo bca saya berharap aturan jelas untuk nasabah tunanetra untuk membuka rekening segera diterbitkan agar ada kejelasan.,375175028129554432,,HaloBCA,in,,0,1,1,https://x.com/andriStoryt/status/375175028129554432,916316281,andriStoryt,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
